Time [s];Acceleration [m/s²]
0.000000;-1.920661
0.000030;0.907933
0.000060;3.118851
0.000090;4.890883
0.000120;5.761676
0.000150;5.013911
0.000180;3.252202
0.000210;1.422706
0.000240;-0.471351
0.000270;-1.707551
0.000300;-1.801447
0.000330;-1.137960
0.000360;-0.146927
0.000390;0.859771
0.000420;1.900953
0.000450;3.049150
0.000480;3.440175
0.000510;3.069395
0.000540;2.552976
0.000570;1.563498
0.000600;0.188331
0.000630;-0.791708
0.000660;-0.936879
0.000690;-0.272410
0.000720;0.758794
0.000750;2.059676
0.000780;3.127667
0.000810;3.963697
0.000840;3.681345
0.000870;2.786464
0.000900;1.551652
0.000930;0.416030
0.000960;-0.542891
0.000990;-0.980444
0.001020;-1.537595
0.001050;-1.755931
0.001080;-1.320332
0.001110;-0.505784
0.001140;0.187079
0.001170;0.749990
0.001200;1.177416
0.001230;1.151636
0.001260;1.163779
0.001290;1.400284
0.001320;1.365999
0.001350;1.162628
0.001380;0.884064
0.001410;0.508623
0.001440;-0.416593
0.001470;-1.954436
0.001500;-3.174955
0.001530;-3.658565
0.001560;-3.638298
0.001590;-3.026709
0.001620;-1.276052
0.001650;1.234613
0.001680;3.622692
0.001710;5.014234
0.001740;5.007033
0.001770;3.712621
0.001800;1.320574
0.001830;-1.807278
0.001860;-4.025103
0.001890;-4.968225
0.001920;-5.312357
0.001950;-4.809554
0.001980;-3.345479
0.002010;-1.585705
0.002040;-0.211543
0.002070;0.274765
0.002100;0.403591
0.002130;0.154010
0.002160;-0.524100
0.002190;-1.124955
0.002220;-1.089730
0.002250;-0.504033
0.002280;-0.103012
0.002310;-0.155883
0.002340;-0.551525
0.002370;-1.377696
0.002400;-2.739695
0.002430;-3.734181
0.002460;-3.975635
0.002490;-3.570352
0.002520;-2.754505
0.002550;-1.054016
0.002580;1.056112
0.002610;3.034296
0.002640;4.454123
0.002670;5.216115
0.002700;5.018555
0.002730;3.839594
0.002760;1.627629
0.002790;-0.790507
0.002820;-2.678537
0.002850;-3.584055
0.002880;-3.713401
0.002910;-2.825200
0.002940;-0.994898
0.002970;0.590379
0.003000;2.187462
0.003030;3.060784
0.003060;2.906718
0.003090;2.125562
0.003120;1.549283
0.003150;0.680370
0.003180;0.101713
0.003210;0.247406
0.003240;0.639343
0.003270;1.232856
0.003300;2.118131
0.003330;2.408828
0.003360;2.546098
0.003390;2.249936
0.003420;1.474613
0.003450;0.386428
0.003480;-0.770090
0.003510;-1.677929
0.003540;-2.048904
0.003570;-1.823929
0.003600;-0.142065
0.003630;1.617576
0.003660;2.380137
0.003690;2.878470
0.003720;3.234948
0.003750;2.909936
0.003780;1.675905
0.003810;0.621082
0.003840;0.576187
0.003870;0.105817
0.003900;-0.476893
0.003930;-1.058817
0.003960;-1.309295
0.003990;-0.689809
0.004020;-0.409118
0.004050;-0.611411
0.004080;-0.106642
0.004110;0.638326
0.004140;0.993702
0.004170;1.351189
0.004200;1.199348
0.004230;0.666358
0.004260;0.206807
0.004290;-0.464974
0.004320;-1.367593
0.004350;-2.373500
0.004380;-3.324129
0.004410;-3.750612
0.004440;-3.797606
0.004470;-3.945831
0.004500;-3.377145
0.004530;-1.918472
0.004560;-0.245212
0.004590;1.295273
0.004620;2.732347
0.004650;3.039867
0.004680;2.233300
0.004710;0.733071
0.004740;-1.018153
0.004770;-2.414375
0.004800;-2.787632
0.004830;-2.703004
0.004860;-1.945555
0.004890;-0.941144
0.004920;-0.373427
0.004950;-0.320257
0.004980;-0.625656
0.005010;-1.086846
0.005040;-1.257637
0.005070;-0.974714
0.005100;-0.173601
0.005130;0.415434
0.005160;1.209300
0.005190;2.091038
0.005220;2.465804
0.005250;2.713806
0.005280;2.836728
0.005310;2.686229
0.005340;2.522351
0.005370;2.417078
0.005400;1.460814
0.005430;-0.080767
0.005460;-1.169302
0.005490;-1.820617
0.005520;-2.119097
0.005550;-1.854561
0.005580;-0.980619
0.005610;0.415771
0.005640;1.611212
0.005670;2.114218
0.005700;2.058623
0.005730;1.564225
0.005760;0.556306
0.005790;-1.001235
0.005820;-2.540613
0.005850;-3.354800
0.005880;-3.776752
0.005910;-3.923475
0.005940;-3.694744
0.005970;-3.343926
0.006000;-2.646208
0.006030;-1.808044
0.006060;-1.039531
0.006090;-0.755150
0.006120;0.085310
0.006150;0.255693
0.006180;0.110031
0.006210;-0.281578
0.006240;-1.128955
0.006270;-2.143454
0.006300;-2.460396
0.006330;-2.553746
0.006360;-2.499338
0.006390;-1.158061
0.006420;0.091697
0.006450;0.332787
0.006480;0.379026
0.006510;-0.222910
0.006540;-1.295438
0.006570;-2.097142
0.006600;-2.862847
0.006630;-3.130968
0.006660;-2.643581
0.006690;-1.494883
0.006720;-0.194404
0.006750;1.566188
0.006780;2.862887
0.006810;3.676047
0.006840;3.749765
0.006870;2.813267
0.006900;1.254457
0.006930;0.241106
0.006960;-0.484774
0.006990;-0.524847
0.007020;0.462327
0.007050;1.940940
0.007080;3.295621
0.007110;4.576441
0.007140;5.295204
0.007170;4.979419
0.007200;3.842006
0.007230;2.616900
0.007260;1.529548
0.007290;0.858240
0.007320;0.818087
0.007350;1.936977
0.007380;4.198750
0.007410;6.375599
0.007440;7.460408
0.007470;7.471825
0.007500;6.707792
0.007530;5.098631
0.007560;3.136999
0.007590;1.664036
0.007620;1.581527
0.007650;1.896083
0.007680;1.389426
0.007710;-0.095191
0.007740;-1.901017
0.007770;-4.065255
0.007800;-6.341390
0.007830;-8.064135
0.007860;-8.328356
0.007890;-7.128500
0.007920;-5.048620
0.007950;-2.598303
0.007980;-0.207060
0.008010;1.133043
0.008040;0.896106
0.008070;-1.027809
0.008100;-4.187740
0.008130;-6.666464
0.008160;-8.781231
0.008190;-10.075514
0.008220;-9.497778
0.008250;-7.566580
0.008280;-5.421926
0.008310;-2.951970
0.008340;-0.807890
0.008370;0.452687
0.008400;-0.072377
0.008430;-1.757050
0.008460;-3.624624
0.008490;-5.916248
0.008520;-8.237193
0.008550;-9.242130
0.008580;-8.798404
0.008610;-7.705420
0.008640;-6.269238
0.008670;-4.018022
0.008700;-1.882960
0.008730;-0.258518
0.008760;0.437350
0.008790;0.515073
0.008820;0.455649
0.008850;0.350620
0.008880;0.034727
0.008910;-0.007085
0.008940;0.686600
0.008970;0.957681
0.009000;0.901505
0.009030;0.492304
0.009060;0.326059
0.009090;0.038489
0.009120;0.093793
0.009150;-0.015254
0.009180;0.477010
0.009210;1.110389
0.009240;2.127739
0.009270;3.425643
0.009300;4.145061
0.009330;4.131172
0.009360;4.055077
0.009390;4.081804
0.009420;4.298549
0.009450;4.516736
0.009480;4.501385
0.009510;4.427705
0.009540;4.468876
0.009570;3.686485
0.009600;2.977726
0.009630;3.058687
0.009660;3.164663
0.009690;3.586162
0.009720;4.364453
0.009750;5.066536
0.009780;5.220443
0.009810;4.988022
0.009840;4.401194
0.009870;3.716055
0.009900;2.744640
0.009930;1.702176
0.009960;0.892115
0.009990;0.739198
0.010020;0.720872
0.010050;1.129520
0.010080;1.239475
0.010110;1.140467
0.010140;0.517116
0.010170;-0.122357
0.010200;-0.526427
0.010230;-0.491642
