Time;A_P1;A_P2;B;C;D;E;F
0.000000;-1.920661;-8.439848;2.976091;-0.315936;-1.236104;-15.970842;10.932161
0.000030;0.907933;-8.270332;1.403297;-1.518895;-0.750377;3.912063;8.571077
0.000060;3.118851;-7.559020;-0.319664;-2.070466;-0.585118;21.081397;10.865796
0.000090;4.890883;-6.261887;-0.999223;-2.263551;-0.941613;33.281290;15.232826
0.000120;5.761676;-4.681169;-0.326351;-2.003942;-1.574369;37.888655;19.960648
0.000150;5.013911;-2.841743;0.728061;-1.336038;-2.211415;34.320712;21.226539
0.000180;3.252202;-0.820236;1.779922;-0.129036;-2.843947;23.933278;2.518774
0.000210;1.422706;0.985161;2.729381;1.316679;-3.188312;10.210017;-31.126178
0.000240;-0.471351;2.455454;3.721823;1.756966;-3.014946;-4.727927;-66.496177
0.000270;-1.707551;3.473013;3.894697;1.716569;-2.442273;-19.478398;-99.732258
0.000300;-1.801447;3.712847;3.070406;1.091455;-1.452717;-30.299669;-110.801740
0.000330;-1.137960;2.477136;2.220981;-0.189672;-0.706660;-34.438645;-84.625884
0.000360;-0.146927;0.804577;1.887509;-1.552458;-0.304666;-33.506715;-33.107471
0.000390;0.859771;-0.657059;2.312966;-2.053699;-0.227107;-29.422228;19.935710
0.000420;1.900953;-2.707990;4.036024;-1.913844;-0.239266;-21.150080;69.837345
0.000450;3.049150;-5.256199;6.425303;-1.394254;-0.085863;-9.953205;95.331088
0.000480;3.440175;-6.741034;7.960287;-0.751009;0.828802;1.893957;78.401614
0.000510;3.069395;-6.709900;8.441851;0.308844;1.968500;13.049612;44.215756
0.000540;2.552976;-6.044910;8.229063;1.215923;2.765711;21.809381;13.216954
0.000570;1.563498;-4.862528;7.586280;1.411229;2.942558;27.194185;-25.257281
0.000600;0.188331;-2.506360;6.622070;0.695229;2.504697;28.777002;-71.587704
0.000630;-0.791708;0.221038;5.874406;-0.078908;1.459334;26.306981;-98.998400
0.000660;-0.936879;2.919116;5.159718;-0.501130;-0.267507;20.420832;-83.059165
0.000690;-0.272410;5.342347;4.483262;-0.371191;-1.981120;11.140347;-49.460906
0.000720;0.758794;6.449210;4.114273;-0.003647;-2.990641;0.741263;-19.210742
0.000750;2.059676;6.290840;4.266884;0.771777;-2.574419;-7.826392;5.245915
0.000780;3.127667;5.331394;4.818284;1.593465;-0.860618;-13.818648;18.949012
0.000810;3.963697;3.581857;5.345404;1.961904;1.095700;-18.191999;24.922656
0.000840;3.681345;1.783052;5.515482;1.844661;3.466325;-19.880336;16.225261
0.000870;2.786464;0.823849;5.800794;1.423016;5.520225;-17.852473;-3.336986
0.000900;1.551652;1.007151;6.007446;0.612745;6.336008;-12.738749;-12.757066
