Time [s];Acceleration [m/s²]
0.000000;2.976091
0.000030;1.403297
0.000060;-0.319664
0.000090;-0.999223
0.000120;-0.326351
0.000150;0.728061
0.000180;1.779922
0.000210;2.729381
0.000240;3.721823
0.000270;3.894697
0.000300;3.070406
0.000330;2.220981
0.000360;1.887509
0.000390;2.312966
0.000420;4.036024
0.000450;6.425303
0.000480;7.960287
0.000510;8.441851
0.000540;8.229063
0.000570;7.586280
0.000600;6.622070
0.000630;5.874406
0.000660;5.159718
0.000690;4.483262
0.000720;4.114273
0.000750;4.266884
0.000780;4.818284
0.000810;5.345404
0.000840;5.515482
0.000870;5.800794
0.000900;6.007446
0.000930;6.481549
0.000960;6.912181
0.000990;7.120961
0.001020;6.968249
0.001050;6.495205
0.001080;5.682130
0.001110;4.411733
0.001140;3.324248
0.001170;2.340334
0.001200;1.531365
0.001230;0.785283
0.001260;0.189440
0.001290;-0.221044
0.001320;-0.062462
0.001350;0.226178
0.001380;0.302587
0.001410;0.422161
0.001440;0.620499
0.001470;0.449095
0.001500;-0.100467
0.001530;-1.005223
0.001560;-2.114760
0.001590;-3.512741
0.001620;-4.754307
0.001650;-5.963792
0.001680;-6.705746
0.001710;-6.969148
0.001740;-6.523502
0.001770;-5.633870
0.001800;-4.387484
0.001830;-3.443488
0.001860;-3.149051
0.001890;-3.370810
0.001920;-4.479621
0.001950;-6.443133
0.001980;-8.598163
0.002010;-10.347303
0.002040;-10.997446
0.002070;-9.795980
0.002100;-6.996405
0.002130;-3.662987
0.002160;-0.754918
0.002190;1.526012
0.002220;2.207528
0.002250;0.885942
0.002280;-2.099182
0.002310;-5.183719
0.002340;-6.863725
0.002370;-6.528815
0.002400;-4.681614
0.002430;-1.734801
0.002460;1.695361
0.002490;3.665792
0.002520;3.833484
0.002550;2.251132
0.002580;-0.108796
0.002610;-2.125477
0.002640;-2.503818
0.002670;-0.973481
0.002700;1.745155
0.002730;4.223221
0.002760;5.628949
0.002790;5.909342
0.002820;5.182748
0.002850;3.314039
0.002880;1.692632
0.002910;1.117815
0.002940;1.176973
0.002970;1.384996
0.003000;1.831469
0.003030;1.761043
0.003060;1.143917
0.003090;0.540364
0.003120;0.361008
0.003150;0.925674
0.003180;2.257786
0.003210;3.503442
0.003240;4.241289
0.003270;4.546520
0.003300;4.165615
0.003330;3.092198
0.003360;2.030682
0.003390;1.417514
0.003420;0.625564
0.003450;0.044582
0.003480;-0.919775
0.003510;-4.068046
0.003540;-10.489557
0.003570;-16.733767
0.003600;-17.678445
0.003630;-11.031508
0.003660;2.958119
0.003690;22.096468
0.003720;40.728563
0.003750;54.632283
0.003780;62.571919
0.003810;64.788165
0.003840;60.970660
0.003870;49.406644
0.003900;30.448762
0.003930;5.652701
0.003960;-27.262664
0.003990;-71.306037
0.004020;-115.689141
0.004050;-144.193736
0.004080;-144.517834
0.004110;-110.510508
0.004140;-52.518338
0.004170;7.206424
0.004200;49.881407
0.004230;76.863876
0.004260;92.592281
0.004290;93.188551
0.004320;84.142983
0.004350;70.047654
0.004380;50.983555
0.004410;27.729496
0.004440;3.397935
0.004470;-18.531628
0.004500;-33.192921
0.004530;-41.054617
0.004560;-45.129542
0.004590;-46.467478
0.004620;-44.623061
0.004650;-41.831236
0.004680;-40.360522
0.004710;-34.944858
0.004740;-17.611330
0.004770;7.745710
0.004800;32.721215
0.004830;50.141943
0.004860;52.513715
0.004890;39.446716
0.004920;20.987932
0.004950;5.214222
0.004980;-9.907113
0.005010;-27.903821
0.005040;-44.615981
0.005070;-50.904226
0.005100;-43.475991
0.005130;-25.242690
0.005160;0.143172
0.005190;24.556964
0.005220;40.015301
0.005250;30.483191
0.005280;-11.431141
0.005310;-52.556476
0.005340;-74.385090
0.005370;-86.072558
0.005400;-75.545341
0.005430;-26.690449
0.005460;36.847938
0.005490;87.017152
0.005520;120.568616
0.005550;136.251472
0.005580;126.893351
0.005610;99.648667
0.005640;63.277637
0.005670;16.918877
0.005700;-36.279508
0.005730;-82.469527
0.005760;-109.342628
0.005790;-121.664413
0.005820;-123.103831
0.005850;-102.319533
0.005880;-58.198730
0.005910;-4.229374
0.005940;45.875046
0.005970;85.712745
0.006000;107.038541
0.006030;106.481236
0.006060;90.603507
0.006090;66.410765
