Time [s];Acceleration [m/s²]
0.000000;-0.315936
0.000030;-1.518895
0.000060;-2.070466
0.000090;-2.263551
0.000120;-2.003942
0.000150;-1.336038
0.000180;-0.129036
0.000210;1.316679
0.000240;1.756966
0.000270;1.716569
0.000300;1.091455
0.000330;-0.189672
0.000360;-1.552458
0.000390;-2.053699
0.000420;-1.913844
0.000450;-1.394254
0.000480;-0.751009
0.000510;0.308844
0.000540;1.215923
0.000570;1.411229
0.000600;0.695229
0.000630;-0.078908
0.000660;-0.501130
0.000690;-0.371191
0.000720;-0.003647
0.000750;0.771777
0.000780;1.593465
0.000810;1.961904
0.000840;1.844661
0.000870;1.423016
0.000900;0.612745
0.000930;-0.229991
0.000960;-0.792070
0.000990;-1.145262
0.001020;-1.091118
0.001050;-0.529579
0.001080;0.846910
0.001110;2.219259
0.001140;3.208836
0.001170;3.250681
0.001200;2.911966
0.001230;2.033103
0.001260;1.173501
0.001290;1.068587
0.001320;1.478473
0.001350;1.426997
0.001380;1.194850
0.001410;0.500146
0.001440;-0.571914
0.001470;-1.795247
0.001500;-2.740070
0.001530;-3.075303
0.001560;-2.614914
0.001590;-1.695041
0.001620;-0.684686
0.001650;-0.062950
0.001680;0.423700
0.001710;0.936064
0.001740;1.237983
0.001770;1.061576
0.001800;0.755487
0.001830;0.876161
0.001860;0.591618
0.001890;-0.194460
0.001920;-1.084210
0.001950;-1.746171
0.001980;-2.453675
0.002010;-3.129213
0.002040;-3.270568
0.002070;-3.059403
0.002100;-2.884015
0.002130;-2.631475
0.002160;-1.786016
0.002190;-0.753836
0.002220;-0.124469
0.002250;0.428124
0.002280;0.997449
0.002310;1.522069
0.002340;1.489413
0.002370;1.063637
0.002400;0.914294
0.002430;1.107953
0.002460;0.992757
0.002490;0.366796
0.002520;-0.393628
0.002550;-1.245839
0.002580;-1.919831
0.002610;-2.596353
0.002640;-2.494234
0.002670;-1.256978
0.002700;0.521701
0.002730;2.037213
0.002760;3.137466
0.002790;3.028196
0.002820;1.700821
0.002850;-0.267815
0.002880;-2.366375
0.002910;-4.083705
0.002940;-4.199440
0.002970;-3.228756
0.003000;-1.740744
0.003030;0.062552
0.003060;1.657328
0.003090;2.417032
0.003120;2.335171
0.003150;1.003028
0.003180;-0.318241
0.003210;-1.170664
0.003240;-1.607991
0.003270;-1.131458
0.003300;0.186971
0.003330;1.522175
0.003360;2.477002
0.003390;2.668325
0.003420;1.790437
0.003450;0.466565
0.003480;-1.259361
0.003510;-2.462757
0.003540;-2.411058
0.003570;-1.867326
0.003600;-0.791337
0.003630;0.150382
0.003660;0.975825
0.003690;1.909660
0.003720;2.613200
0.003750;3.072986
0.003780;3.339782
0.003810;3.140596
0.003840;2.329359
0.003870;1.169922
0.003900;-0.102238
0.003930;-1.063281
0.003960;-1.693193
0.003990;-1.885065
0.004020;-1.493602
0.004050;-0.972080
0.004080;-0.183543
0.004110;0.907801
0.004140;1.831109
0.004170;2.211357
0.004200;2.484550
0.004230;2.511709
0.004260;2.136726
0.004290;1.243179
0.004320;0.206107
0.004350;-0.607154
0.004380;-1.392863
0.004410;-2.263573
0.004440;-2.557659
0.004470;-2.222849
0.004500;-2.062593
0.004530;-2.105823
0.004560;-1.972300
0.004590;-1.716168
0.004620;-1.351343
0.004650;-0.553818
0.004680;0.692436
0.004710;2.234637
0.004740;3.204871
0.004770;3.549398
0.004800;2.979245
0.004830;1.518631
0.004860;-0.526955
0.004890;-2.112545
0.004920;-3.479490
0.004950;-4.396551
0.004980;-4.409816
0.005010;-3.542011
0.005040;-2.455764
0.005070;-1.235382
0.005100;-0.264654
0.005130;0.243088
0.005160;-0.197208
0.005190;-0.756432
0.005220;-0.794993
0.005250;-0.484716
0.005280;0.063019
0.005310;1.346602
0.005340;2.056329
0.005370;1.365285
0.005400;0.155003
0.005430;-1.361115
0.005460;-2.926768
0.005490;-3.795812
0.005520;-3.733820
0.005550;-3.051858
0.005580;-1.740460
0.005610;0.003215
0.005640;1.783613
0.005670;2.791716
0.005700;3.008211
0.005730;2.837623
0.005760;2.229273
0.005790;1.676305
0.005820;1.698727
0.005850;2.063668
0.005880;2.326175
0.005910;1.684274
0.005940;0.746453
0.005970;0.176730
0.006000;-0.858487
0.006030;-1.851285
0.006060;-1.482770
0.006090;-0.204894
0.006120;0.494622
0.006150;0.402816
0.006180;0.403159
0.006210;0.436422
0.006240;0.055456
0.006270;-0.276373
0.006300;0.165745
0.006330;1.144967
0.006360;1.534105
0.006390;1.660139
0.006420;1.717894
0.006450;1.086198
0.006480;-0.169866
0.006510;-1.352375
0.006540;-2.058368
0.006570;-2.219016
0.006600;-2.158885
0.006630;-1.403114
0.006660;-0.571059
0.006690;0.333247
0.006720;0.840991
0.006750;0.847657
0.006780;0.818007
0.006810;0.347055
0.006840;-0.156786
0.006870;-0.476890
0.006900;-0.579785
0.006930;-0.255480
0.006960;0.116024
0.006990;0.107466
0.007020;-0.212567
0.007050;-0.553782
0.007080;-0.687380
0.007110;-0.927186
0.007140;-0.981081
0.007170;-0.245772
0.007200;0.814316
0.007230;1.871738
0.007260;3.006630
0.007290;3.930851
0.007320;4.245873
0.007350;3.158686
0.007380;1.082506
