Time [s];Acceleration [m/s²]
0.000000;-1.236104
0.000030;-0.750377
0.000060;-0.585118
0.000090;-0.941613
0.000120;-1.574369
0.000150;-2.211415
0.000180;-2.843947
0.000210;-3.188312
0.000240;-3.014946
0.000270;-2.442273
0.000300;-1.452717
0.000330;-0.706660
0.000360;-0.304666
0.000390;-0.227107
0.000420;-0.239266
0.000450;-0.085863
0.000480;0.828802
0.000510;1.968500
0.000540;2.765711
0.000570;2.942558
0.000600;2.504697
0.000630;1.459334
0.000660;-0.267507
0.000690;-1.981120
0.000720;-2.990641
0.000750;-2.574419
0.000780;-0.860618
0.000810;1.095700
0.000840;3.466325
0.000870;5.520225
0.000900;6.336008
0.000930;5.523141
0.000960;3.501554
0.000990;0.646299
0.001020;-2.549581
0.001050;-5.311158
0.001080;-6.887138
0.001110;-6.773636
0.001140;-5.543707
0.001170;-3.448080
0.001200;-1.322878
0.001230;0.733518
0.001260;1.871736
0.001290;2.513317
0.001320;2.583673
0.001350;2.655741
0.001380;2.675003
0.001410;2.249767
0.001440;1.551266
0.001470;0.625873
0.001500;-0.394079
0.001530;-1.312982
0.001560;-1.958824
0.001590;-2.032146
0.001620;-1.353434
0.001650;0.018077
0.001680;1.694495
0.001710;3.628422
0.001740;5.102467
0.001770;5.494988
0.001800;4.849749
0.001830;3.735172
0.001860;2.233062
0.001890;0.486390
0.001920;-0.647131
0.001950;-1.156007
0.001980;-0.823807
0.002010;0.085720
0.002040;0.976036
0.002070;1.526617
0.002100;1.432677
0.002130;0.591789
0.002160;-0.547896
0.002190;-2.168900
0.002220;-3.670181
0.002250;-4.768525
0.002280;-5.182636
0.002310;-4.956744
0.002340;-4.113901
0.002370;-3.417026
0.002400;-2.749006
0.002430;-1.792356
0.002460;-1.011312
0.002490;-0.929033
0.002520;-1.371009
0.002550;-1.835237
0.002580;-2.262785
0.002610;-3.378951
0.002640;-4.776765
0.002670;-5.421190
0.002700;-5.964146
0.002730;-6.658831
0.002760;-6.630699
0.002790;-5.426351
0.002820;-4.516316
0.002850;-3.345779
0.002880;-1.503411
0.002910;0.192933
0.002940;1.181149
0.002970;2.150311
0.003000;2.771536
0.003030;2.403053
0.003060;1.522531
0.003090;0.415119
0.003120;-0.883058
0.003150;-1.782986
0.003180;-2.178655
0.003210;-1.726435
0.003240;-0.939087
0.003270;0.205546
0.003300;1.429686
0.003330;3.202201
0.003360;4.830759
0.003390;6.449172
0.003420;7.876548
