Time [s];Acceleration [m/s²]
0.000000;-15.970842
0.000030;3.912063
0.000060;21.081397
0.000090;33.281290
0.000120;37.888655
0.000150;34.320712
0.000180;23.933278
0.000210;10.210017
0.000240;-4.727927
0.000270;-19.478398
0.000300;-30.299669
0.000330;-34.438645
0.000360;-33.506715
0.000390;-29.422228
0.000420;-21.150080
0.000450;-9.953205
0.000480;1.893957
0.000510;13.049612
0.000540;21.809381
0.000570;27.194185
0.000600;28.777002
0.000630;26.306981
0.000660;20.420832
0.000690;11.140347
0.000720;0.741263
0.000750;-7.826392
0.000780;-13.818648
0.000810;-18.191999
0.000840;-19.880336
0.000870;-17.852473
0.000900;-12.738749
0.000930;-6.162905
0.000960;1.167550
0.000990;8.641381
0.001020;14.646859
0.001050;16.386096
0.001080;12.952016
0.001110;7.222337
0.001140;1.059743
0.001170;-6.116500
0.001200;-12.544210
0.001230;-16.731445
0.001260;-17.582637
0.001290;-15.507097
0.001320;-11.910908
0.001350;-7.691339
0.001380;-2.845916
0.001410;1.959515
0.001440;5.257435
0.001470;7.201345
0.001500;7.778492
0.001530;7.064735
0.001560;5.052859
0.001590;3.060967
0.001620;0.449088
0.001650;-2.766153
0.001680;-6.164414
0.001710;-9.143695
0.001740;-11.505462
0.001770;-12.382517
0.001800;-11.819746
0.001830;-10.061928
0.001860;-7.036731
0.001890;-2.335721
0.001920;2.957157
0.001950;7.517119
0.001980;9.991474
0.002010;10.055260
0.002040;7.706839
0.002070;3.066382
0.002100;-2.258487
0.002130;-6.816138
0.002160;-9.963553
0.002190;-11.224655
0.002220;-10.545295
0.002250;-8.186418
0.002280;-4.440896
0.002310;0.097464
0.002340;4.801128
0.002370;8.770982
0.002400;11.842243
0.002430;13.176543
0.002460;12.641121
0.002490;11.069899
0.002520;8.946557
0.002550;6.277698
0.002580;3.771435
0.002610;1.665694
0.002640;0.240078
0.002670;-0.668822
0.002700;-1.048613
0.002730;-1.054069
0.002760;-0.636440
0.002790;0.293675
0.002820;1.876102
0.002850;3.979611
0.002880;6.485114
0.002910;9.551554
0.002940;12.300403
0.002970;14.099631
0.003000;14.490478
0.003030;13.390635
0.003060;11.050279
0.003090;7.877783
0.003120;3.932318
0.003150;-0.095159
0.003180;-3.346940
0.003210;-5.361288
0.003240;-5.972587
0.003270;-5.611238
0.003300;-4.875756
0.003330;-4.113418
0.003360;-2.879951
0.003390;-1.230747
0.003420;0.848609
0.003450;2.802735
0.003480;4.311617
0.003510;4.441978
0.003540;3.021280
0.003570;0.648561
0.003600;-1.868874
0.003630;-3.903547
0.003660;-5.484277
0.003690;-6.527635
0.003720;-6.936681
0.003750;-7.375009
0.003780;-7.291602
0.003810;-6.888692
0.003840;-6.312371
0.003870;-5.828609
0.003900;-4.969635
0.003930;-3.706916
0.003960;-2.388632
0.003990;-1.521380
0.004020;-1.015618
0.004050;-0.851871
0.004080;-1.127037
0.004110;-1.760554
0.004140;-2.147631
0.004170;-1.829281
0.004200;-1.094016
0.004230;-0.957210
0.004260;-1.570965
0.004290;-2.635488
0.004320;-3.762909
0.004350;-4.470301
0.004380;-4.077732
0.004410;-2.932301
0.004440;-2.545057
0.004470;-2.833083
0.004500;-3.575295
0.004530;-4.364068
0.004560;-4.697771
0.004590;-3.986928
0.004620;-3.240742
0.004650;-2.658838
0.004680;-2.176227
0.004710;-1.555008
0.004740;-0.800479
0.004770;0.082640
0.004800;0.506487
0.004830;0.668053
0.004860;0.160189
0.004890;-1.538191
0.004920;-3.145957
0.004950;-3.412020
0.004980;-3.030873
0.005010;-2.708107
0.005040;-2.020745
0.005070;-0.728739
0.005100;0.592094
0.005130;1.287181
0.005160;1.644688
0.005190;1.912759
0.005220;2.510160
0.005250;2.857886
0.005280;3.374259
0.005310;3.848899
0.005340;4.199805
0.005370;3.868534
0.005400;3.066458
0.005430;1.539466
0.005460;-0.403689
0.005490;-1.864507
0.005520;-2.371677
0.005550;-1.495780
0.005580;0.506713
0.005610;3.369132
0.005640;6.749013
0.005670;9.851286
0.005700;12.080893
0.005730;13.060623
0.005760;12.533934
0.005790;10.813189
0.005820;7.980385
0.005850;4.821624
0.005880;1.784788
0.005910;0.102966
0.005940;-0.369974
0.005970;0.262402
0.006000;1.950884
0.006030;4.153780
0.006060;6.119468
0.006090;7.626135
0.006120;8.451734
0.006150;8.461134
0.006180;7.295695
0.006210;5.445438
0.006240;3.563207
0.006270;2.070186
0.006300;1.140648
0.006330;0.800956
0.006360;0.901628
0.006390;1.068763
0.006420;1.158962
0.006450;0.943360
0.006480;0.181059
0.006510;-1.000148
0.006540;-2.459122
0.006570;-4.161150
0.006600;-5.497914
0.006630;-5.932853
0.006660;-5.889666
0.006690;-5.132997
0.006720;-3.599250
0.006750;-2.257038
0.006780;-1.413674
0.006810;-1.107567
0.006840;-1.381259
0.006870;-2.519576
0.006900;-4.046120
0.006930;-5.761313
0.006960;-7.615188
0.006990;-9.183531
0.007020;-9.814350
0.007050;-9.266057
0.007080;-7.566973
0.007110;-4.805883
0.007140;-1.765329
0.007170;0.893146
0.007200;2.636227
0.007230;2.970693
0.007260;1.833246
0.007290;0.001774
0.007320;-2.012290
0.007350;-3.700503
0.007380;-4.476583
0.007410;-4.300924
0.007440;-3.629130
0.007470;-2.344757
0.007500;-1.413198
0.007530;-1.024043
0.007560;-1.122175
0.007590;-1.278657
0.007620;-1.425696
0.007650;-1.030237
0.007680;-0.293725
0.007710;0.563471
0.007740;1.780802
0.007770;2.872523
0.007800;3.412619
0.007830;3.375883
0.007860;2.149546
0.007890;0.304375
0.007920;-1.143622
0.007950;-2.415285
0.007980;-3.106036
0.008010;-2.688520
0.008040;-1.216766
0.008070;0.167613
0.008100;1.247569
0.008130;1.885422
0.008160;1.979188
0.008190;1.080909
0.008220;-0.096179
0.008250;-1.255288
0.008280;-1.773290
0.008310;-1.749344
0.008340;-0.983413
0.008370;0.176105
0.008400;1.166060
0.008430;1.538023
0.008460;1.324616
0.008490;1.121468
0.008520;1.060275
0.008550;1.356494
0.008580;2.422397
0.008610;4.642257
0.008640;8.332755
0.008670;13.429466
0.008700;18.848714
0.008730;23.546699
0.008760;26.895489
0.008790;27.252074
0.008820;21.355437
0.008850;8.436471
0.008880;-7.210655
0.008910;-19.988317
0.008940;-27.984003
0.008970;-28.465299
0.009000;-18.517819
0.009030;-1.501431
0.009060;14.162156
0.009090;24.763769
0.009120;28.975820
0.009150;25.157511
0.009180;11.783294
0.009210;-6.759150
0.009240;-22.593316
0.009270;-32.489769
0.009300;-37.530147
0.009330;-34.681244
0.009360;-23.247101
0.009390;-10.187698
0.009420;0.777764
0.009450;10.465046
0.009480;17.677808
0.009510;20.427728
0.009540;18.452371
0.009570;12.431816
0.009600;2.804820
0.009630;-7.666605
0.009660;-15.096307
0.009690;-19.237270
0.009720;-19.017795
0.009750;-11.645060
0.009780;0.388777
0.009810;12.357777
0.009840;22.209800
0.009870;26.496478
0.009900;25.155977
0.009930;19.478819
0.009960;7.170047
0.009990;-9.532209
0.010020;-20.531171
0.010050;-23.059937
0.010080;-21.152833
0.010110;-15.086100
0.010140;-7.061312
0.010170;-0.005821
0.010200;8.884646
0.010230;13.437939
0.010260;8.483240
0.010290;4.953502
0.010320;5.660390
0.010350;-3.385437
0.010380;-10.951889
0.010410;-0.133648
0.010440;0.320762
0.010470;-20.260198
0.010500;-29.973183
0.010530;-28.032714
0.010560;-26.798004
0.010590;-19.128339
0.010620;1.904272
0.010650;26.282689
0.010680;41.370349
0.010710;47.361253
0.010740;44.609529
0.010770;34.110420
0.010800;8.493671
0.010830;-23.236654
0.010860;-43.200538
0.010890;-57.051233
0.010920;-62.459451
0.010950;-49.925449
0.010980;-21.230222
0.011010;3.638826
0.011040;17.169387
0.011070;28.597300
0.011100;33.852402
0.011130;26.970290
0.011160;14.023610
0.011190;5.810315
0.011220;3.738398
0.011250;-1.767148
0.011280;-5.679929
0.011310;-4.411005
0.011340;-4.566216
0.011370;-10.769480
0.011400;-16.653808
0.011430;-16.447463
0.011460;-12.284709
0.011490;-7.893736
0.011520;0.255564
0.011550;12.216540
0.011580;21.512210
0.011610;24.814019
0.011640;24.823878
0.011670;21.512114
0.011700;14.691428
0.011730;5.471920
0.011760;-3.214029
0.011790;-9.466229
0.011820;-15.409244
0.011850;-19.905200
0.011880;-19.109997
0.011910;-14.524891
0.011940;-8.140061
0.011970;-0.036974
0.012000;9.479096
0.012030;16.371496
0.012060;16.633766
0.012090;11.728111
0.012120;5.442561
0.012150;-2.643542
0.012180;-12.210801
0.012210;-18.982633
0.012240;-20.580882
0.012270;-18.308196
0.012300;-13.535050
0.012330;-6.383214
0.012360;0.963765
0.012390;6.448738
0.012420;9.634799
0.012450;10.324161
0.012480;9.353576
0.012510;6.897473
0.012540;4.240769
0.012570;4.036446
0.012600;4.871332
0.012630;5.001959
0.012660;5.974086
0.012690;6.686603
0.012720;6.592737
0.012750;6.232804
0.012780;5.980381
