Time [s];Acceleration [m/s²]
0.000000;10.932161
0.000030;8.571077
0.000060;10.865796
0.000090;15.232826
0.000120;19.960648
0.000150;21.226539
0.000180;2.518774
0.000210;-31.126178
0.000240;-66.496177
0.000270;-99.732258
0.000300;-110.801740
0.000330;-84.625884
0.000360;-33.107471
0.000390;19.935710
0.000420;69.837345
0.000450;95.331088
0.000480;78.401614
0.000510;44.215756
0.000540;13.216954
0.000570;-25.257281
0.000600;-71.587704
0.000630;-98.998400
0.000660;-83.059165
0.000690;-49.460906
0.000720;-19.210742
0.000750;5.245915
0.000780;18.949012
0.000810;24.922656
0.000840;16.225261
0.000870;-3.336986
0.000900;-12.757066
0.000930;-5.053158
0.000960;2.512639
0.000990;3.329403
0.001020;22.998484
0.001050;53.934404
0.001080;61.472605
0.001110;46.556084
0.001140;40.306157
0.001170;39.723697
0.001200;36.058594
0.001230;25.134624
0.001260;13.908912
0.001290;9.507443
0.001320;2.825285
0.001350;-15.853366
0.001380;-28.912536
0.001410;-30.263010
0.001440;-35.744335
0.001470;-52.134589
0.001500;-64.412673
0.001530;-59.583877
0.001560;-43.874139
0.001590;-24.905560
0.001620;-10.293020
0.001650;7.395477
0.001680;35.464233
0.001710;58.055410
0.001740;65.367770
0.001770;65.762919
0.001800;62.217216
0.001830;51.862209
0.001860;36.971858
0.001890;26.085353
0.001920;15.058860
0.001950;-2.152512
0.001980;-20.967583
0.002010;-42.774885
0.002040;-76.713070
0.002070;-113.492758
0.002100;-147.553062
0.002130;-161.801038
0.002160;-124.852946
0.002190;-48.330341
0.002220;20.608063
0.002250;72.636034
0.002280;113.824978
0.002310;122.925926
0.002340;101.855608
0.002370;79.163467
0.002400;61.231885
0.002430;45.413793
0.002460;26.105260
0.002490;6.293738
0.002520;-1.705329
0.002550;2.523588
0.002580;2.211889
0.002610;-18.646766
0.002640;-41.189770
0.002670;-43.530182
0.002700;-43.825981
0.002730;-48.507916
0.002760;-45.879844
0.002790;-35.031851
0.002820;-14.452190
0.002850;13.731050
0.002880;45.811634
0.002910;77.458583
0.002940;93.223845
0.002970;82.875327
0.003000;46.287831
0.003030;5.668636
0.003060;-25.840725
0.003090;-59.894963
0.003120;-83.822753
0.003150;-79.471105
0.003180;-49.309116
0.003210;-8.761838
0.003240;26.292715
0.003270;51.241423
0.003300;53.711155
0.003330;38.003645
0.003360;21.778241
0.003390;4.047984
0.003420;-10.208430
0.003450;-8.078773
0.003480;5.654760
0.003510;18.094758
0.003540;19.824274
0.003570;10.458606
0.003600;-9.588730
0.003630;-41.994824
0.003660;-77.350486
0.003690;-102.864191
0.003720;-100.633141
0.003750;-71.157935
0.003780;-36.054953
0.003810;0.331392
0.003840;50.525667
0.003870;94.091580
0.003900;101.999628
0.003930;73.085197
0.003960;39.789887
0.003990;16.286519
0.004020;0.901950
0.004050;-0.980577
0.004080;8.337655
0.004110;15.072109
0.004140;5.053836
0.004170;-25.358166
0.004200;-57.081453
0.004230;-73.375283
0.004260;-84.235355
0.004290;-84.139145
0.004320;-60.301770
0.004350;-21.532594
0.004380;25.463375
0.004410;60.928376
0.004440;63.451130
0.004470;43.007097
0.004500;24.592460
0.004530;17.511224
0.004560;9.103307
0.004590;5.814363
0.004620;18.876571
0.004650;25.442073
0.004680;3.589030
0.004710;-32.536094
0.004740;-61.707452
0.004770;-68.888445
0.004800;-54.993949
0.004830;-26.322454
0.004860;12.627854
0.004890;49.392453
0.004920;73.156911
0.004950;61.251970
0.004980;26.296757
0.005010;-3.348253
0.005040;-25.618555
0.005070;-35.088112
0.005100;-25.779313
0.005130;-9.188015
0.005160;13.498325
0.005190;38.879719
0.005220;53.349935
0.005250;47.391488
0.005280;29.803397
0.005310;5.840284
0.005340;-19.991427
0.005370;-31.037151
0.005400;-19.630971
0.005430;-4.767903
0.005460;2.146914
0.005490;9.122466
0.005520;9.586897
0.005550;-2.743346
0.005580;-17.177862
0.005610;-28.291391
0.005640;-38.121267
0.005670;-35.937138
0.005700;-18.613599
0.005730;2.172680
0.005760;21.867418
0.005790;40.420735
0.005820;48.020432
0.005850;46.086941
0.005880;48.916835
0.005910;49.197345
0.005940;31.558481
0.005970;9.454399
0.006000;-9.617780
0.006030;-32.804452
0.006060;-56.214038
0.006090;-64.134496
0.006120;-52.636530
0.006150;-27.502193
0.006180;7.937756
0.006210;39.278208
0.006240;58.971356
0.006270;73.439674
0.006300;70.837709
0.006330;42.415147
0.006360;11.705188
0.006390;-0.102372
0.006420;-10.888538
0.006450;-28.070532
0.006480;-34.283032
0.006510;-31.818440
0.006540;-32.045698
0.006570;-25.781549
0.006600;-15.055689
0.006630;-17.618635
0.006660;-25.167350
0.006690;-23.412909
0.006720;-16.066025
0.006750;-1.139446
0.006780;14.800032
0.006810;12.703641
0.006840;10.038524
0.006870;25.052193
0.006900;43.458102
0.006930;39.983917
0.006960;24.444511
0.006990;10.206044
0.007020;-11.928467
0.007050;-38.761385
0.007080;-49.804621
0.007110;-47.641719
0.007140;-39.290685
0.007170;-29.165032
0.007200;-15.536866
0.007230;7.060530
0.007260;25.966259
0.007290;25.528436
0.007320;9.557730
0.007350;-2.380663
0.007380;-6.463202
0.007410;-1.791542
0.007440;4.373018
0.007470;12.328836
0.007500;20.672040
0.007530;23.454335
0.007560;10.460083
0.007590;-7.566996
0.007620;-15.685043
0.007650;-22.673429
0.007680;-38.865393
0.007710;-50.004763
0.007740;-51.814026
0.007770;-53.485937
0.007800;-51.890165
0.007830;-35.829637
0.007860;-9.715904
0.007890;15.398252
0.007920;46.971963
0.007950;80.756694
0.007980;89.128818
0.008010;73.552007
0.008040;45.767837
0.008070;17.726026
0.008100;-1.889858
0.008130;-13.749787
0.008160;-24.347266
0.008190;-26.312670
0.008220;-26.757219
0.008250;-35.066670
0.008280;-41.958348
0.008310;-34.347013
0.008340;-14.588875
0.008370;11.446648
0.008400;33.407665
0.008430;43.218723
0.008460;47.920836
0.008490;49.663672
0.008520;42.234942
0.008550;28.046745
0.008580;16.530958
0.008610;10.456016
0.008640;8.750110
0.008670;1.539432
0.008700;-22.463843
0.008730;-49.206532
0.008760;-65.266390
0.008790;-66.771519
0.008820;-60.189894
0.008850;-48.168891
0.008880;-26.023866
0.008910;5.273574
0.008940;33.094314
0.008970;50.772019
0.009000;60.028000
0.009030;65.375831
0.009060;66.869322
0.009090;60.676915
0.009120;46.546425
0.009150;27.535757
0.009180;0.043796
0.009210;-48.921195
0.009240;-109.233838
0.009270;-151.545506
0.009300;-157.223640
0.009330;-125.375509
0.009360;-64.164351
0.009390;5.236825
0.009420;68.634557
0.009450;110.409448
0.009480;108.679786
0.009510;73.334177
0.009540;40.312493
0.009570;18.168363
0.009600;0.151309
0.009630;-11.960964
0.009660;-14.913116
0.009690;-13.875815
0.009720;-13.294213
0.009750;-8.931585
0.009780;-6.234020
0.009810;-10.980150
0.009840;-13.913040
0.009870;-17.633595
0.009900;-22.489279
0.009930;-17.056886
0.009960;-1.629451
0.009990;19.142495
0.010020;45.836815
0.010050;62.989268
0.010080;60.167220
0.010110;49.285460
0.010140;38.819002
0.010170;25.247198
0.010200;6.470871
0.010230;-18.167618
0.010260;-47.607994
0.010290;-74.612405
0.010320;-77.548384
0.010350;-56.894277
0.010380;-30.067768
0.010410;-0.736320
0.010440;27.857721
0.010470;67.387271
0.010500;101.223118
0.010530;90.744622
0.010560;45.937346
0.010590;18.547397
0.010620;22.439658
0.010650;20.540768
0.010680;4.385294
0.010710;-7.919726
0.010740;-18.399267
0.010770;-37.600390
0.010800;-63.239445
0.010830;-92.436543
0.010860;-118.318236
0.010890;-120.631722
0.010920;-89.166102
0.010950;-26.809511
0.010980;57.514215
0.011010;133.382045
0.011040;152.861569
0.011070;123.456763
0.011100;85.734112
0.011130;59.019228
0.011160;37.206472
0.011190;18.139880
0.011220;4.456596
0.011250;-10.681161
0.011280;-34.091502
0.011310;-61.247835
